"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"426","Cavan",7.1,0,7.1,21.4,64.3
"427","Cavan",3,9.1,18.2,39.4,30.3
"428","Cavan",28.1,9.4,6.3,12.5,43.8
"429","Cavan",0,22.2,22.2,38.9,16.7
"430","Cavan",22.2,11.1,14.8,29.6,22.2
"431","Cavan",13.3,6.7,26.7,40,13.3
"432","Cavan",13.5,5.4,27,32.4,21.6
"433","Cavan",7.1,3.6,32.1,25,32.1
"434","Cavan",0,7.1,21.4,35.7,35.7
"435","Cavan",20.8,8.3,33.3,25,12.5
"436","Cavan",4.3,13,13,13,56.5
"437","Cavan",6.5,9.7,16.1,29,38.7
"438","Cavan",8.1,5.4,24.3,24.3,37.8
"439","Cavan",8.3,4.2,12.5,41.7,33.3
"440","Cavan",11.8,17.6,17.6,11.8,41.2
"441","Cavan",4.3,13,13,26.1,43.5
"442","Cavan",6.9,0,13.8,24.1,55.2
"443","Cavan",8.3,8.3,12.5,20.8,50
"444","Cavan",17.6,11.8,29.4,23.5,17.6
"445","Cavan",13.3,6.7,26.7,33.3,20
"446","Cavan",13.9,5.6,25,25,30.6
"447","Cavan",0,7.4,29.6,29.6,33.3
"448","Cavan",10.5,0,5.3,31.6,52.6
"449","Cavan",6.7,13.3,26.7,26.7,26.7
"450","Cavan",20,0,20,20,40
"451","Cavan",3.2,3.2,3.2,11.3,79
"452","Cavan",11.1,3.7,25.9,29.6,29.6
"453","Cavan",4.8,4.8,0,38.1,52.4
"454","Cavan",10.7,3.6,14.3,28.6,42.9
"455","Cavan",4,8,24,32,32
"456","Cavan",4.8,4.8,23.8,19,47.6
"457","Cavan",8,0,16,36,40
"458","Cavan",0,40,40,0,20
"459","Cavan",4.8,23.8,38.1,28.6,4.8
"460","Cavan",17.6,0,5.9,41.2,35.3
"461","Cavan",29.6,7.4,18.5,25.9,18.5
"462","Cavan",10.3,10.3,24.1,13.8,41.4
"463","Cavan",12.5,9.4,12.5,40.6,25
"464","Cavan",7.7,11.5,30.8,26.9,23.1
"465","Cavan",9.4,3.1,40.6,18.8,28.1
"466","Cavan",14.3,4.8,31,28.6,21.4
"467","Cavan",0,12.5,43.8,25,18.8
"468","Cavan",8.3,4.2,22.9,33.3,31.3
"469","Cavan",8,0,12,36,44
"470","Cavan",16.1,6.5,16.1,29,32.3
"471","Cavan",7.1,7.1,28.6,35.7,21.4
"472","Cavan",0,3.7,29.6,25.9,40.7
"473","Cavan",10.3,6.9,10.3,10.3,62.1
"474","Cavan",11.1,5.6,22.2,27.8,33.3
"475","Cavan",4.5,13.6,18.2,22.7,40.9
"476","Cavan",14.3,7.1,21.4,21.4,35.7
"477","Cavan",5.9,11.8,17.6,41.2,23.5
"478","Cavan",18.8,6.3,12.5,9.4,53.1
"479","Cavan",10.7,3.6,7.1,39.3,39.3
"480","Cavan",0,6.3,31.3,43.8,18.8
"481","Cavan",10.7,7.1,17.9,28.6,35.7
"482","Cavan",13.9,5.6,13.9,38.9,27.8
"483","Cavan",0,0,42.9,0,57.1
"484","Cavan",4.8,0,14.3,19,61.9
"485","Cavan",3.7,0,14.8,22.2,59.3
"486","Cavan",14.3,9.5,9.5,14.3,52.4
"487","Cavan",4.8,0,28.6,28.6,38.1
"488","Cavan",10.5,21.1,5.3,21.1,42.1
"489","Cavan",3.3,6.7,13.3,26.7,50
"490","Cavan",8.7,8.7,4.3,47.8,30.4
"491","Cavan",0,0,11.8,23.5,64.7
"492","Cavan",9.1,4.5,4.5,31.8,50
"493","Cavan",12.9,12.9,29,35.5,9.7
"494","Cavan",16.7,0,29.2,29.2,25
"495","Cavan",0,6.9,17.2,27.6,48.3
"496","Cavan",5.3,0,21.1,26.3,47.4
"497","Cavan",16.7,8.3,20.8,29.2,25
"498","Cavan",11.8,0,20.6,29.4,38.2
"499","Cavan",0,11.1,0,16.7,72.2
"500","Cavan",4.5,0,0,45.5,50
"501","Cavan",10,5,25,20,40
